timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:37:25.678830+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,53,47,98,51,27.5,117,30,30,117,True,
2026-02-07T01:37:26.064833+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,10,43,57,90,33,26.5,34112,6,6,34112,True,
2026-02-07T01:37:26.467974+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,13,24,76,87,11,18.5,108,1104,1104,108,True,
2026-02-07T01:37:26.956673+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,29,71,97,26,16.0,50,392,392,50,True,
2026-02-07T01:37:27.376545+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,9,32,68,91,23,20.5,1104,5,5,1104,True,
2026-02-07T01:37:27.776079+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,4,36,64,96,32,20.0,1104,16112,16112,1104,True,
2026-02-07T01:37:28.205612+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,53,47,97,50,28.0,50,50,50,50,True,
2026-02-07T01:37:28.664986+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,41,54,46,59,13,47.5,1011,115,115,1011,True,
2026-02-07T01:37:29.058514+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,36,42,58,64,6,39.0,14,101,101,14,True,
2026-02-07T01:37:29.502598+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,19,35,65,81,16,27.0,1112,1112,1112,1112,True,
2026-02-07T01:38:44.571193+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,26,74,98,24,14.0,117,15996,15996,117,True,
2026-02-07T01:38:45.018607+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,12,42,58,88,30,27.0,996,996,996,996,True,
2026-02-07T01:38:45.532405+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,13,35,65,87,22,24.0,108,1017,1017,108,True,
