timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:34:28.700246+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,346,800,800,346,True,
2026-02-07T01:35:45.714615+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,185,1300,1300,185,True,
2026-02-07T01:35:46.279691+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:35:46.827902+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:35:47.267305+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,787,600,600,787,True,
2026-02-07T01:35:47.804636+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,274,139,139,274,True,
2026-02-07T01:35:49.336441+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,250,370,370,250,True,
2026-02-07T01:35:49.838600+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:35:50.267446+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1686,1300,1300,1686,True,
2026-02-07T01:35:50.702419+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,335,200,200,335,True,
2026-02-07T01:35:51.151155+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,346,800,800,346,True,
2026-02-07T01:37:10.722100+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,185,1300,1300,185,True,
2026-02-07T01:37:11.208930+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:37:12.057136+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:37:12.662165+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,687,592,592,687,True,
2026-02-07T01:37:13.119884+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,274,139,139,274,True,
2026-02-07T01:37:13.683789+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,24,29,71,76,5,26.5,250,370,370,250,True,
2026-02-07T01:37:14.358145+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:37:14.926788+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1686,1300,1300,1686,True,
2026-02-07T01:37:15.462897+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,335,200,200,335,True,
2026-02-07T01:37:15.908452+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,346,800,800,346,True,
2026-02-07T01:38:29.914310+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,185,1300,1300,185,True,
2026-02-07T01:38:30.318333+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:38:30.796570+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:38:31.302485+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,47,53,58,5,44.5,677,21267,21267,677,True,
2026-02-07T01:38:31.788412+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,274,139,139,274,True,
