t_utc,ticker,yes_bid_c,yes_ask_c,no_bid_c,no_ask_c,open_side,open_price_c,open_qty,pairs_count,locked_pnl_c,realized_pnl_c,mtm_pnl_c,total_pnl_c,stopped_out_yes,stopped_out_no,secs_to_close
2026-02-04T04:59:12.447342+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,53,57,43,47,,,0,0,0,0,0,0,0,0,1206047
2026-02-04T04:59:17.668150+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1206042
2026-02-04T04:59:22.957775+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1206037
2026-02-04T04:59:28.156446+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,58,42,44,,,0,0,0,0,0,0,0,0,1206032
2026-02-04T04:59:33.343802+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,56,44,46,,,0,0,0,0,0,0,0,0,1206026
2026-02-04T04:59:38.572725+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1206021
2026-02-04T04:59:43.815202+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1206016
2026-02-04T04:59:49.021786+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1206011
2026-02-04T04:59:54.262527+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1206005
2026-02-04T04:59:59.486277+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1206000
2026-02-04T05:00:04.688835+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205995
2026-02-04T05:00:10.267796+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205990
2026-02-04T05:00:15.674949+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205984
2026-02-04T05:00:20.890406+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205979
2026-02-04T05:00:26.126162+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205974
2026-02-04T05:00:31.363047+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205968
2026-02-04T05:00:36.573599+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205963
2026-02-04T05:00:41.862715+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205958
2026-02-04T05:00:47.080859+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205953
2026-02-04T05:00:52.318967+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,53,55,45,47,,,0,0,0,0,0,0,0,0,1205947
2026-02-04T05:00:57.601263+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,53,54,46,47,,,0,0,0,0,0,0,0,0,1205942
2026-02-04T05:01:02.803747+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,56,44,46,,,0,0,0,0,0,0,0,0,1205937
2026-02-04T05:01:08.045402+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1205932
2026-02-04T05:01:13.422111+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,56,57,43,44,,,0,0,0,0,0,0,0,0,1205926
2026-02-04T05:01:18.746581+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,55,57,43,45,,,0,0,0,0,0,0,0,0,1205921
2026-02-04T05:01:24.060703+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,55,57,43,45,,,0,0,0,0,0,0,0,0,1205916
2026-02-04T05:01:29.267370+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,55,56,44,45,,,0,0,0,0,0,0,0,0,1205910
2026-02-04T05:01:34.532697+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205905
2026-02-04T05:01:39.741361+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205900
2026-02-04T05:01:44.982238+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205895
2026-02-04T05:01:50.175510+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205890
2026-02-04T05:01:55.396956+00:00,KXNCAAMBGAME-26FEB03UNLVFRES-UNLV,54,55,45,46,,,0,0,0,0,0,0,0,0,1205884
